Month,LOADEST AMLE Predicted Load
10/1/1967,
11/1/1967,
12/1/1967,
1/1/1968,
2/1/1968,
3/1/1968,
4/1/1968,
5/1/1968,
6/1/1968,
7/1/1968,
8/1/1968,
9/1/1968,
10/1/1968,
11/1/1968,
12/1/1968,
1/1/1969,
2/1/1969,
3/1/1969,
4/1/1969,
5/1/1969,
6/1/1969,
7/1/1969,
8/1/1969,
9/1/1969,
10/1/1969,
11/1/1969,
12/1/1969,
1/1/1970,
2/1/1970,
3/1/1970,
4/1/1970,
5/1/1970,
6/1/1970,
7/1/1970,
8/1/1970,
9/1/1970,
10/1/1970,
11/1/1970,
12/1/1970,
1/1/1971,
2/1/1971,
3/1/1971,
4/1/1971,
5/1/1971,
6/1/1971,
7/1/1971,
8/1/1971,
9/1/1971,
10/1/1971,
11/1/1971,
12/1/1971,
1/1/1972,
2/1/1972,
3/1/1972,
4/1/1972,
5/1/1972,
6/1/1972,
7/1/1972,
8/1/1972,
9/1/1972,
10/1/1972,
11/1/1972,
12/1/1972,
1/1/1973,
2/1/1973,
3/1/1973,
4/1/1973,
5/1/1973,
6/1/1973,
7/1/1973,
8/1/1973,
9/1/1973,
10/1/1973,
11/1/1973,
12/1/1973,
1/1/1974,
2/1/1974,
3/1/1974,
4/1/1974,
5/1/1974,
6/1/1974,
7/1/1974,
8/1/1974,
9/1/1974,
10/1/1974,
11/1/1974,
12/1/1974,
1/1/1975,
2/1/1975,
3/1/1975,
4/1/1975,
5/1/1975,
6/1/1975,
7/1/1975,
8/1/1975,
9/1/1975,
10/1/1975,
11/1/1975,
12/1/1975,
1/1/1976,
2/1/1976,
3/1/1976,
4/1/1976,
5/1/1976,
6/1/1976,
7/1/1976,
8/1/1976,
9/1/1976,
10/1/1976,
11/1/1976,
12/1/1976,
1/1/1977,
2/1/1977,
3/1/1977,
4/1/1977,
5/1/1977,
6/1/1977,
7/1/1977,
8/1/1977,
9/1/1977,
10/1/1977,
11/1/1977,
12/1/1977,
1/1/1978,
2/1/1978,
3/1/1978,
4/1/1978,
5/1/1978,
6/1/1978,
7/1/1978,
8/1/1978,
9/1/1978,
10/1/1978,22600.00
11/1/1978,18500.00
12/1/1978,65300.00
1/1/1979,75700.00
2/1/1979,68600.00
3/1/1979,159000.00
4/1/1979,225000.00
5/1/1979,205000.00
6/1/1979,126000.00
7/1/1979,74300.00
8/1/1979,67200.00
9/1/1979,62300.00
10/1/1979,50900.00
11/1/1979,43100.00
12/1/1979,70300.00
1/1/1980,63000.00
2/1/1980,46700.00
3/1/1980,74700.00
4/1/1980,152000.00
5/1/1980,99800.00
6/1/1980,76000.00
7/1/1980,50000.00
8/1/1980,34300.00
9/1/1980,36500.00
10/1/1980,28800.00
11/1/1980,24200.00
12/1/1980,30900.00
1/1/1981,14900.00
2/1/1981,26800.00
3/1/1981,57300.00
4/1/1981,45800.00
5/1/1981,80900.00
6/1/1981,120000.00
7/1/1981,95100.00
8/1/1981,69600.00
9/1/1981,39200.00
10/1/1981,29400.00
11/1/1981,42100.00
12/1/1981,36500.00
1/1/1982,55500.00
2/1/1982,97800.00
3/1/1982,136000.00
4/1/1982,150000.00
5/1/1982,112000.00
6/1/1982,158000.00
7/1/1982,105000.00
8/1/1982,62400.00
9/1/1982,50200.00
10/1/1982,33800.00
11/1/1982,37200.00
12/1/1982,153000.00
1/1/1983,151000.00
2/1/1983,103000.00
3/1/1983,136000.00
4/1/1983,200000.00
5/1/1983,226000.00
6/1/1983,184000.00
7/1/1983,93900.00
8/1/1983,42900.00
9/1/1983,24100.00
10/1/1983,18000.00
11/1/1983,37000.00
12/1/1983,114000.00
1/1/1984,74900.00
2/1/1984,89400.00
3/1/1984,165000.00
4/1/1984,191000.00
5/1/1984,183000.00
6/1/1984,152000.00
7/1/1984,110000.00
8/1/1984,45100.00
9/1/1984,23100.00
10/1/1984,28400.00
11/1/1984,67300.00
12/1/1984,64700.00
1/1/1985,89600.00
2/1/1985,64600.00
3/1/1985,163000.00
4/1/1985,154000.00
5/1/1985,112000.00
6/1/1985,68400.00
7/1/1985,39700.00
8/1/1985,22100.00
9/1/1985,19400.00
10/1/1985,39900.00
11/1/1985,74700.00
12/1/1985,118000.00
1/1/1986,60500.00
2/1/1986,85200.00
3/1/1986,104000.00
4/1/1986,125000.00
5/1/1986,121000.00
6/1/1986,136000.00
7/1/1986,78000.00
8/1/1986,35700.00
9/1/1986,21500.00
10/1/1986,84900.00
11/1/1986,90200.00
12/1/1986,97400.00
1/1/1987,65100.00
2/1/1987,64300.00
3/1/1987,127000.00
4/1/1987,141000.00
5/1/1987,87400.00
6/1/1987,66600.00
7/1/1987,43600.00
8/1/1987,19600.00
9/1/1987,18300.00
10/1/1987,10700.00
11/1/1987,16400.00
12/1/1987,42400.00
1/1/1988,100000.00
2/1/1988,93900.00
3/1/1988,104000.00
4/1/1988,114000.00
5/1/1988,50500.00
6/1/1988,14700.00
7/1/1988,6260.00
8/1/1988,6160.00
9/1/1988,5250.00
10/1/1988,7330.00
11/1/1988,13100.00
12/1/1988,29600.00
1/1/1989,67600.00
2/1/1989,60400.00
3/1/1989,114000.00
4/1/1989,118000.00
5/1/1989,69400.00
6/1/1989,69500.00
7/1/1989,58800.00
8/1/1989,17100.00
9/1/1989,21200.00
10/1/1989,30300.00
11/1/1989,23800.00
12/1/1989,19700.00
1/1/1990,39500.00
2/1/1990,87800.00
3/1/1990,132000.00
4/1/1990,138000.00
5/1/1990,146000.00
6/1/1990,176000.00
7/1/1990,123000.00
8/1/1990,60700.00
9/1/1990,42400.00
10/1/1990,33300.00
11/1/1990,32000.00
12/1/1990,58700.00
1/1/1991,139000.00
2/1/1991,108000.00
3/1/1991,128000.00
4/1/1991,157000.00
5/1/1991,189000.00
6/1/1991,152000.00
7/1/1991,71400.00
8/1/1991,31300.00
9/1/1991,21800.00
10/1/1991,19400.00
11/1/1991,46000.00
12/1/1991,108000.00
1/1/1992,97200.00
2/1/1992,60700.00
3/1/1992,122000.00
4/1/1992,116000.00
5/1/1992,104000.00
6/1/1992,56000.00
7/1/1992,58900.00
8/1/1992,87100.00
9/1/1992,34100.00
10/1/1992,36700.00
11/1/1992,46600.00
12/1/1992,125000.00
1/1/1993,150000.00
2/1/1993,111000.00
3/1/1993,164000.00
4/1/1993,204000.00
5/1/1993,214000.00
6/1/1993,146000.00
7/1/1993,153000.00
8/1/1993,175000.00
9/1/1993,109000.00
10/1/1993,108000.00
11/1/1993,68200.00
12/1/1993,98200.00
1/1/1994,54000.00
2/1/1994,70600.00
3/1/1994,119000.00
4/1/1994,114000.00
5/1/1994,130000.00
6/1/1994,55300.00
7/1/1994,51300.00
8/1/1994,28400.00
9/1/1994,16900.00
10/1/1994,18900.00
11/1/1994,32500.00
12/1/1994,59800.00
1/1/1995,51200.00
2/1/1995,64000.00
3/1/1995,79700.00
4/1/1995,76500.00
5/1/1995,142000.00
6/1/1995,160000.00
7/1/1995,98400.00
8/1/1995,52000.00
9/1/1995,20800.00
10/1/1995,20300.00
11/1/1995,35100.00
12/1/1995,30800.00
1/1/1996,39300.00
2/1/1996,62200.00
3/1/1996,69300.00
4/1/1996,84100.00
5/1/1996,146000.00
6/1/1996,160000.00
7/1/1996,89900.00
8/1/1996,63800.00
9/1/1996,27000.00
10/1/1996,34100.00
11/1/1996,65700.00
12/1/1996,112000.00
1/1/1997,69700.00
2/1/1997,89100.00
3/1/1997,152000.00
4/1/1997,150000.00
5/1/1997,122000.00
6/1/1997,113000.00
7/1/1997,81000.00
8/1/1997,33200.00
9/1/1997,20100.00
10/1/1997,18100.00
11/1/1997,22400.00
12/1/1997,31600.00
1/1/1998,92100.00
2/1/1998,87700.00
3/1/1998,136000.00
4/1/1998,160000.00
5/1/1998,170000.00
6/1/1998,110000.00
7/1/1998,131000.00
8/1/1998,63200.00
9/1/1998,21100.00
10/1/1998,39300.00
11/1/1998,50200.00
12/1/1998,50700.00
1/1/1999,65200.00
2/1/1999,145000.00
3/1/1999,132000.00
4/1/1999,126000.00
5/1/1999,182000.00
6/1/1999,134000.00
7/1/1999,117000.00
8/1/1999,48300.00
9/1/1999,17300.00
10/1/1999,14300.00
11/1/1999,11800.00
12/1/1999,23600.00
1/1/2000,21100.00
2/1/2000,19900.00
3/1/2000,72200.00
4/1/2000,86000.00
5/1/2000,62500.00
6/1/2000,74400.00
7/1/2000,100000.00
8/1/2000,35400.00
9/1/2000,17000.00
10/1/2000,15500.00
11/1/2000,21000.00
12/1/2000,31400.00
1/1/2001,36800.00
2/1/2001,77100.00
3/1/2001,163000.00
4/1/2001,133000.00
5/1/2001,123000.00
6/1/2001,149000.00
7/1/2001,78700.00
8/1/2001,35900.00
9/1/2001,20400.00
10/1/2001,23800.00
11/1/2001,22000.00
12/1/2001,64400.00
1/1/2002,50500.00
2/1/2002,69700.00
3/1/2002,74200.00
4/1/2002,118000.00
5/1/2002,157000.00
6/1/2002,130000.00
7/1/2002,51700.00
8/1/2002,24300.00
9/1/2002,20200.00
10/1/2002,31600.00
11/1/2002,33700.00
12/1/2002,35500.00
1/1/2003,49500.00
2/1/2003,35300.00
3/1/2003,79200.00
4/1/2003,65800.00
5/1/2003,106000.00
6/1/2003,98000.00
7/1/2003,62300.00
8/1/2003,40200.00
9/1/2003,27000.00
10/1/2003,21600.00
11/1/2003,26200.00
12/1/2003,56500.00
1/1/2004,67700.00
2/1/2004,68700.00
3/1/2004,103000.00
4/1/2004,95400.00
5/1/2004,94100.00
6/1/2004,132000.00
7/1/2004,105000.00
8/1/2004,42500.00
9/1/2004,39500.00
10/1/2004,36000.00
11/1/2004,59900.00
12/1/2004,95000.00
1/1/2005,109000.00
2/1/2005,105000.00
3/1/2005,106000.00
4/1/2005,105000.00
5/1/2005,84100.00
6/1/2005,69400.00
7/1/2005,49400.00
8/1/2005,16600.00
9/1/2005,23400.00
10/1/2005,19900.00
11/1/2005,17800.00
12/1/2005,24700.00
1/1/2006,41400.00
2/1/2006,69700.00
3/1/2006,83900.00
4/1/2006,96000.00
5/1/2006,115000.00
6/1/2006,60200.00
7/1/2006,34700.00
8/1/2006,20100.00
9/1/2006,19700.00
10/1/2006,29900.00
11/1/2006,39500.00
12/1/2006,45900.00
1/1/2007,90700.00
2/1/2007,70200.00
3/1/2007,112000.00
4/1/2007,151000.00
5/1/2007,148000.00
6/1/2007,72300.00
7/1/2007,62000.00
8/1/2007,31200.00
9/1/2007,31200.00
10/1/2007,18400.00
11/1/2007,31500.00
12/1/2007,45400.00
1/1/2008,79100.00
2/1/2008,95700.00
3/1/2008,169000.00
4/1/2008,190000.00
5/1/2008,192000.00
6/1/2008,151000.00
7/1/2008,138000.00
8/1/2008,61900.00
9/1/2008,42100.00
10/1/2008,35700.00
11/1/2008,23600.00
12/1/2008,39600.00
1/1/2009,92600.00
2/1/2009,75900.00
3/1/2009,124000.00
4/1/2009,151000.00
5/1/2009,155000.00
6/1/2009,126000.00
7/1/2009,73500.00
8/1/2009,42700.00
9/1/2009,32700.00
10/1/2009,54600.00
11/1/2009,89000.00
12/1/2009,78700.00
1/1/2010,92300.00
2/1/2010,103000.00
3/1/2010,123000.00
4/1/2010,149000.00
5/1/2010,123000.00
6/1/2010,110000.00
7/1/2010,98000.00
8/1/2010,64200.00
9/1/2010,34100.00
10/1/2010,40400.00
11/1/2010,29100.00
12/1/2010,48100.00
1/1/2011,48000.00
2/1/2011,49700.00
3/1/2011,157000.00
4/1/2011,152000.00
5/1/2011,181000.00
6/1/2011,166000.00
7/1/2011,116000.00
8/1/2011,63600.00
9/1/2011,38900.00
10/1/2011,27000.00
11/1/2011,30900.00
12/1/2011,66400.00
1/1/2012,66000.00
2/1/2012,73400.00
3/1/2012,78800.00
4/1/2012,83000.00
5/1/2012,61800.00
6/1/2012,31100.00
7/1/2012,21200.00
8/1/2012,16300.00
9/1/2012,15100.00
10/1/2012,12900.00
11/1/2012,14700.00
12/1/2012,19800.00
1/1/2013,57900.00
2/1/2013,69400.00
3/1/2013,92300.00
4/1/2013,117000.00
5/1/2013,182000.00
6/1/2013,154000.00
7/1/2013,112000.00
8/1/2013,52900.00
9/1/2013,22600.00
10/1/2013,16300.00
11/1/2013,20400.00
12/1/2013,35800.00
1/1/2014,59200.00
2/1/2014,43500.00
3/1/2014,74300.00
4/1/2014,100000.00
5/1/2014,108000.00
6/1/2014,99000.00
7/1/2014,92000.00
8/1/2014,40900.00
9/1/2014,41100.00
10/1/2014,51500.00
11/1/2014,31500.00
12/1/2014,40800.00
1/1/2015,49700.00
2/1/2015,30800.00
3/1/2015,90200.00
4/1/2015,108000.00
5/1/2015,115000.00
6/1/2015,139000.00
7/1/2015,155000.00
8/1/2015,86900.00
9/1/2015,28400.00
10/1/2015,29000.00
11/1/2015,37900.00
12/1/2015,87000.00
1/1/2016,140000.00
2/1/2016,101000.00
3/1/2016,135000.00
4/1/2016,124000.00
5/1/2016,127000.00
6/1/2016,99600.00
7/1/2016,77600.00
8/1/2016,77500.00
9/1/2016,61900.00
